k_code,n_s_minus_1
9.2083066506e-01,1.1724318594e+00
9.4182782349e-01,1.3825297068e+00
9.6330376775e-01,1.7446650102e+00
9.8526941529e-01,1.9604689834e+00
1.0077359325e+00,2.1173595193e+00
1.0307147405e+00,2.2369522097e+00
1.0542175207e+00,2.3311757135e+00
1.0782562209e+00,2.4072894058e+00
1.1028430614e+00,2.4704180217e+00
1.1279905412e+00,2.5233419698e+00
1.1537114441e+00,2.5678878844e+00
1.1800188455e+00,2.6064561904e+00
1.2069261191e+00,2.6401353700e+00
1.2344469434e+00,2.6696321366e+00
1.2625953089e+00,2.6955686909e+00
1.2913855248e+00,2.7182790923e+00
1.3208322272e+00,2.7385196791e+00
1.3509503852e+00,2.7568447363e+00
1.3817553099e+00,2.7738365617e+00
1.4132626611e+00,2.7887089708e+00
1.4454884559e+00,2.8023366946e+00
1.4784490764e+00,2.8149219531e+00
1.5121612785e+00,2.8267153730e+00
1.5466422001e+00,2.8374591732e+00
1.5819093698e+00,2.8470293010e+00
1.6179807159e+00,2.8568117224e+00
1.6548745757e+00,2.8659865625e+00
1.6926097044e+00,2.8745510629e+00
1.7312052850e+00,2.8823792350e+00
1.7706809378e+00,2.8900392399e+00
1.8110567307e+00,2.8978126446e+00
1.8523531889e+00,2.9053467475e+00
1.8945913060e+00,2.9127554092e+00
1.9377925539e+00,2.9200948254e+00
1.9819788943e+00,2.9274291272e+00
2.0271727898e+00,2.9347401966e+00
2.0733972151e+00,2.9417766681e+00
2.1206756686e+00,2.9489238423e+00
2.1690321849e+00,2.9564460784e+00
2.2184913462e+00,2.9640595948e+00
2.2690782956e+00,2.9718027583e+00
2.3208187494e+00,2.9797297864e+00
2.3737390103e+00,2.9873678769e+00
2.4278659806e+00,2.9947147668e+00
2.4832271763e+00,3.0025422341e+00
2.5398507407e+00,3.0107003871e+00
2.5977654588e+00,3.0189052632e+00
2.6570007721e+00,3.0260529274e+00
2.7175867933e+00,3.0330523071e+00
2.7795543218e+00,3.0408119735e+00
2.8429348592e+00,3.0481351592e+00
2.9077606257e+00,3.0540676407e+00
2.9740645759e+00,3.0596126036e+00
3.0418804160e+00,3.0655798133e+00
3.1112426206e+00,3.0700669596e+00
3.1821864507e+00,3.0731477987e+00
3.2547479711e+00,3.0759351000e+00
3.3289640690e+00,3.0778859889e+00
3.4048724729e+00,3.0775031100e+00
3.4825117713e+00,3.0759990491e+00
3.5619214328e+00,3.0741211551e+00
3.6431418259e+00,3.0691910225e+00
3.7262142398e+00,3.0625719345e+00
3.8111809050e+00,3.0556739740e+00
3.8980850148e+00,3.0456283569e+00
3.9869707479e+00,3.0336581093e+00
4.0778832898e+00,3.0213262056e+00
4.1708688568e+00,3.0061802746e+00
4.2659747189e+00,2.9893369740e+00
4.3632492238e+00,2.9725833771e+00
4.4627418219e+00,2.9536690340e+00
4.5645030910e+00,2.9339408317e+00
4.6685847622e+00,2.9154542854e+00
4.7750397465e+00,2.8959682420e+00
4.8839221609e+00,2.8773286046e+00
4.9952873568e+00,2.8617666895e+00
5.1091919476e+00,2.8470567453e+00
5.2256938375e+00,2.8355459325e+00
5.3448522513e+00,2.8292123037e+00
5.4667277642e+00,2.8261474497e+00
5.5913823324e+00,2.8287566941e+00
5.7188793253e+00,2.8381285240e+00
5.8492835568e+00,2.8526585232e+00
5.9826613192e+00,2.8742014346e+00
6.1190804159e+00,2.9022951328e+00
6.2586101969e+00,2.9351577674e+00
6.4013215931e+00,2.9735106505e+00
6.5472871531e+00,3.0147468910e+00
6.6965810796e+00,3.0566455310e+00
6.8492792675e+00,3.0986689733e+00
7.0054593421e+00,3.1361703507e+00
7.1652006988e+00,3.1671069046e+00
7.3285845435e+00,3.1904500697e+00
7.4956939335e+00,3.2010683130e+00
7.6666138204e+00,3.1985423555e+00
7.8414310926e+00,3.1826183477e+00
8.0202346200e+00,3.1505849971e+00
8.2031152987e+00,3.1049397367e+00
8.3901660977e+00,3.0474335930e+00
8.5814821056e+00,2.9799324003e+00
8.7771605797e+00,2.9086179315e+00
8.9773009945e+00,2.8377817588e+00
9.1820050932e+00,2.7737564969e+00
9.3913769387e+00,2.7253281215e+00
9.6055229668e+00,2.6969738763e+00
9.8245520405e+00,2.6956128695e+00
1.0048575505e+01,2.7264442890e+00
1.0277707244e+01,2.7873062709e+00
1.0512063740e+01,2.8761022559e+00
1.0751764128e+01,2.9846303361e+00
1.0996930262e+01,3.0981458502e+00
1.1247686776e+01,3.2024123045e+00
1.1504161142e+01,3.2798351262e+00
1.1766483742e+01,3.3152756726e+00
1.2034787930e+01,3.3009005615e+00
1.2309210099e+01,3.2322060640e+00
1.2589889755e+01,3.1159179738e+00
1.2876969585e+01,2.9683159467e+00
1.3170595526e+01,2.8093640903e+00
1.3470916846e+01,2.6689373399e+00
1.3778086216e+01,2.5778675321e+00
1.4092259788e+01,2.5603687942e+00
1.4413597274e+01,2.6326940839e+00
1.4742262030e+01,2.7890352697e+00
1.5078421134e+01,2.9993700928e+00
1.5422245476e+01,3.2151088323e+00
1.5773909842e+01,3.3749266168e+00
1.6133593003e+01,3.4286837659e+00
1.6501477806e+01,3.3530402410e+00
1.6877751270e+01,3.1561374052e+00
1.7262604676e+01,2.8867303403e+00
1.7656233667e+01,2.6216346415e+00
1.8058838347e+01,2.4473368710e+00
1.8470623385e+01,2.4405025523e+00
1.8891798113e+01,2.6273460642e+00
1.9322576641e+01,2.9568141440e+00
1.9763177957e+01,3.3054352040e+00
2.0213826046e+01,3.5183678181e+00
2.0674749996e+01,3.4882319020e+00
2.1146184124e+01,3.2103912343e+00
2.1628368086e+01,2.7892349467e+00
2.2121547004e+01,2.4143408137e+00
2.2625971591e+01,2.2861825742e+00
2.3141898273e+01,2.5094745792e+00
2.3669589328e+01,3.0000128270e+00
2.4209313010e+01,3.4795664907e+00
2.4761343693e+01,3.6369883307e+00
2.5325962006e+01,3.3461518075e+00
2.5903454977e+01,2.7605691071e+00
2.6494116180e+01,2.2507001733e+00
2.7098245882e+01,2.1996493863e+00
2.7716151197e+01,2.7077172172e+00
2.8348146242e+01,3.4187989454e+00
2.8994552298e+01,3.7377545994e+00
2.9655697969e+01,3.3533292710e+00
3.0331919355e+01,2.5520106450e+00
3.1023560219e+01,2.0309943379e+00
3.1730972161e+01,2.3377594956e+00
3.2454514800e+01,3.2487660112e+00
3.3194555956e+01,3.8186177473e+00
3.3951471833e+01,3.3815011654e+00
3.4725647216e+01,2.3584037454e+00
3.5517475664e+01,1.9045410912e+00
3.6327359709e+01,2.6539356482e+00
3.7155711063e+01,3.7276664399e+00
3.8002950823e+01,3.6740683040e+00
3.8869509692e+01,2.4849544268e+00
3.9755828191e+01,1.7852327240e+00
4.0662356889e+01,2.6806348945e+00
4.1589556625e+01,3.8726457329e+00
4.2537898750e+01,3.4130759283e+00
4.3507865361e+01,1.9600454343e+00
4.4499949549e+01,1.9855887618e+00
4.5514655647e+01,3.5368069296e+00
4.6552499490e+01,3.7588301827e+00
4.7614008673e+01,2.1261099594e+00
4.8699722824e+01,1.8239620025e+00
4.9810193875e+01,3.5379770331e+00
5.0945986341e+01,3.6414300068e+00
5.2107677614e+01,1.8108660315e+00
5.3295858247e+01,2.1805311252e+00
5.4511132262e+01,3.9151016726e+00
5.5754117454e+01,2.7863850840e+00
5.7025445703e+01,1.5606425855e+00
5.8325763301e+01,3.3865553152e+00
5.9655731274e+01,3.3990613073e+00
6.1016025722e+01,1.5402667626e+00
6.2407338162e+01,3.0187116571e+00
6.3830375878e+01,3.4947691550e+00
6.5285862285e+01,1.5798201639e+00
6.6774537289e+01,3.0898224482e+00
6.8297157671e+01,3.1915077571e+00
6.9854497467e+01,1.6545131745e+00
7.1447348364e+01,3.4480728970e+00
7.3076520100e+01,2.4542228069e+00
7.4742840879e+01,2.2230243811e+00
7.6447157787e+01,3.3890426847e+00
7.8190337228e+01,1.8786382668e+00
7.9973265361e+01,3.1594037911e+00
8.1796848553e+01,2.3781752973e+00
8.3662013837e+01,2.6274196174e+00
8.5569709384e+01,2.7839377497e+00
8.7520904988e+01,2.4136612646e+00
8.9516592554e+01,2.8362058152e+00
9.1557786606e+01,2.4840677085e+00
9.3645524802e+01,2.7001304403e+00
9.5780868460e+01,2.6626741972e+00
9.7964903101e+01,2.5203400399e+00
1.0019873899e+02,2.8324527600e+00
1.0248351173e+02,2.4113835619e+00
1.0482038279e+02,2.8308913035e+00
1.0721054014e+02,2.6012726668e+00
1.0965519884e+02,2.4030016635e+00
1.1215560166e+02,3.2288280793e+00
1.1471301968e+02,1.7786693007e+00
1.1732875299e+02,3.3801890074e+00
1.2000413133e+02,2.4097972205e+00
1.2274051475e+02,1.9200235841e+00
1.2553929430e+02,3.6913435303e+00
1.2840189277e+02,2.0103236999e+00
1.3132976538e+02,1.7608420186e+00
1.3432440054e+02,3.6139492332e+00
1.3738732061e+02,2.5802994398e+00
1.4052008263e+02,1.1917178749e+00
1.4372427918e+02,2.3857743391e+00
1.4700153913e+02,3.4210839737e+00
1.5035352851e+02,2.4842311229e+00
1.5378195132e+02,1.3104125346e+00
1.5728855044e+02,1.3399691299e+00
1.6087510847e+02,2.1036408595e+00
1.6454344866e+02,2.5938191060e+00
1.6829543586e+02,2.5063732272e+00
1.7213297740e+02,2.1289257831e+00
1.7605802414e+02,1.7702018957e+00
1.8007257140e+02,1.5469545685e+00
1.8417866002e+02,1.4452093973e+00
1.8837837735e+02,1.4115025395e+00
1.9267385836e+02,1.3977848074e+00
1.9706728669e+02,1.3606049113e+00
2.0156089577e+02,1.2419204058e+00
2.0615696997e+02,9.7264569465e-01
2.1085784574e+02,5.3933131859e-01
2.1566591281e+02,1.4300173427e-01
2.2058361539e+02,2.7258247753e-01
2.2561345345e+02,1.1368322567e+00
2.3075798393e+02,1.6671650678e+00
2.3601982211e+02,4.8220553091e-01
2.4140164288e+02,-7.8987704687e-01
2.4690618214e+02,6.5569724738e-01
2.5253623815e+02,1.1583534280e+00
2.5829467301e+02,-8.5696355617e-01
2.6418441407e+02,4.8997243525e-01
2.7020845541e+02,9.6435171989e-02
2.7636985942e+02,-2.7788181339e-01
2.8267175829e+02,-7.1867765682e-02
2.8911735564e+02,-1.2958808052e+00
