k_code,P_t
9.2083066506e-01,6.7910606107e-15
9.4182782349e-01,6.2622993255e-15
9.6330376775e-01,5.8852633733e-15
9.8526941529e-01,5.5976130588e-15
1.0077359325e+00,5.3687336614e-15
1.0307147405e+00,5.1813158885e-15
1.0542175207e+00,5.0246098428e-15
1.0782562209e+00,4.8914876419e-15
1.1028430614e+00,4.7769621075e-15
1.1279905412e+00,4.6773997764e-15
1.1537114441e+00,4.5901436825e-15
1.1800188455e+00,4.5131307531e-15
1.2069261191e+00,4.4447291268e-15
1.2344469434e+00,4.3836679699e-15
1.2625953089e+00,4.3289108634e-15
1.2913855248e+00,4.2796237436e-15
1.3208322272e+00,4.2351091483e-15
1.3509503852e+00,4.1947803414e-15
1.3817553099e+00,4.1581407215e-15
1.4132626611e+00,4.1247676401e-15
1.4454884559e+00,4.0943186646e-15
1.4784490764e+00,4.0664694036e-15
1.5121612785e+00,4.0409636399e-15
1.5466422001e+00,4.0175550446e-15
1.5819093698e+00,3.9960538813e-15
1.6179807159e+00,3.9762702469e-15
1.6548745757e+00,3.9580445240e-15
1.6926097044e+00,3.9412366141e-15
1.7312052850e+00,3.9257218717e-15
1.7706809378e+00,3.9113895148e-15
1.8110567307e+00,3.8981354112e-15
1.8523531889e+00,3.8858690785e-15
1.8945913060e+00,3.8745088374e-15
1.9377925539e+00,3.8639808343e-15
1.9819788943e+00,3.8542181242e-15
2.0271727898e+00,3.8451599269e-15
2.0733972151e+00,3.8367513564e-15
2.1206756686e+00,3.8289429704e-15
2.1690321849e+00,3.8216875324e-15
2.2184913462e+00,3.8149430068e-15
2.2690782956e+00,3.8086709345e-15
2.3208187494e+00,3.8028360748e-15
2.3737390103e+00,3.7974061006e-15
2.4278659806e+00,3.7923524684e-15
2.4832271763e+00,3.7876474865e-15
2.5398507407e+00,3.7832650837e-15
2.5977654588e+00,3.7791821049e-15
2.6570007721e+00,3.7753772336e-15
2.7175867933e+00,3.7718324560e-15
2.7795543218e+00,3.7685276322e-15
2.8429348592e+00,3.7654459370e-15
2.9077606257e+00,3.7625720012e-15
2.9740645759e+00,3.7598925006e-15
3.0418804160e+00,3.7573926186e-15
3.1112426206e+00,3.7550599890e-15
3.1821864507e+00,3.7528838756e-15
3.2547479711e+00,3.7508533378e-15
3.3289640690e+00,3.7489579049e-15
3.4048724729e+00,3.7471886431e-15
3.4825117713e+00,3.7455375786e-15
3.5619214328e+00,3.7439958711e-15
3.6431418259e+00,3.7425561657e-15
3.7262142398e+00,3.7412124811e-15
3.8111809050e+00,3.7399574610e-15
3.8980850148e+00,3.7387851816e-15
3.9869707479e+00,3.7376907773e-15
4.0778832898e+00,3.7366684424e-15
4.1708688568e+00,3.7357133120e-15
4.2659747189e+00,3.7348214504e-15
4.3632492238e+00,3.7339881917e-15
4.4627418219e+00,3.7332095763e-15
4.5645030910e+00,3.7324824394e-15
4.6685847622e+00,3.7318029696e-15
4.7750397465e+00,3.7311679682e-15
4.8839221609e+00,3.7305749033e-15
4.9952873568e+00,3.7300206200e-15
5.1091919476e+00,3.7295025674e-15
5.2256938375e+00,3.7290186793e-15
5.3448522513e+00,3.7285663669e-15
5.4667277642e+00,3.7281436163e-15
5.5913823324e+00,3.7277486712e-15
5.7188793253e+00,3.7273794646e-15
5.8492835568e+00,3.7270343961e-15
5.9826613192e+00,3.7267119615e-15
6.1190804159e+00,3.7264105166e-15
6.2586101969e+00,3.7261287931e-15
6.4013215931e+00,3.7258654964e-15
6.5472871531e+00,3.7256193229e-15
6.6965810796e+00,3.7253892706e-15
6.8492792675e+00,3.7251742219e-15
7.0054593421e+00,3.7249731464e-15
7.1652006988e+00,3.7247852546e-15
7.3285845435e+00,3.7246095804e-15
7.4956939335e+00,3.7244453202e-15
7.6666138204e+00,3.7242918290e-15
7.8414310926e+00,3.7241482958e-15
8.0202346200e+00,3.7240141025e-15
8.2031152987e+00,3.7238886799e-15
8.3901660977e+00,3.7237713888e-15
8.5814821056e+00,3.7236617421e-15
8.7771605797e+00,3.7235592397e-15
8.9773009945e+00,3.7234633782e-15
9.1820050932e+00,3.7233737750e-15
9.3913769387e+00,3.7232899916e-15
9.6055229668e+00,3.7232116328e-15
9.8245520405e+00,3.7231383986e-15
1.0048575505e+01,3.7230699055e-15
1.0277707244e+01,3.7230058526e-15
1.0512063740e+01,3.7229459799e-15
1.0751764128e+01,3.7228899784e-15
1.0996930262e+01,3.7228376138e-15
1.1247686776e+01,3.7227886553e-15
1.1504161142e+01,3.7227428601e-15
1.1766483742e+01,3.7227000444e-15
1.2034787930e+01,3.7226600043e-15
1.2309210099e+01,3.7226225494e-15
1.2589889755e+01,3.7225875357e-15
1.2876969585e+01,3.7225547839e-15
1.3170595526e+01,3.7225241480e-15
1.3470916846e+01,3.7224955069e-15
1.3778086216e+01,3.7224687121e-15
1.4092259788e+01,3.7224436514e-15
1.4413597274e+01,3.7224202166e-15
1.4742262030e+01,3.7223982912e-15
1.5078421134e+01,3.7223777872e-15
1.5422245476e+01,3.7223586086e-15
1.5773909842e+01,3.7223406641e-15
1.6133593003e+01,3.7223238847e-15
1.6501477806e+01,3.7223081859e-15
1.6877751270e+01,3.7222934973e-15
1.7262604676e+01,3.7222797618e-15
1.7656233667e+01,3.7222669084e-15
1.8058838347e+01,3.7222548833e-15
1.8470623385e+01,3.7222436355e-15
1.8891798113e+01,3.7222331090e-15
1.9322576641e+01,3.7222232618e-15
1.9763177957e+01,3.7222140485e-15
2.0213826046e+01,3.7222054253e-15
2.0674749996e+01,3.7221973592e-15
2.1146184124e+01,3.7221898101e-15
2.1628368086e+01,3.7221827442e-15
2.2121547004e+01,3.7221761345e-15
2.2625971591e+01,3.7221699469e-15
2.3141898273e+01,3.7221641557e-15
2.3669589328e+01,3.7221587366e-15
2.4209313010e+01,3.7221536630e-15
2.4761343693e+01,3.7221489147e-15
2.5325962006e+01,3.7221444700e-15
2.5903454977e+01,3.7221403080e-15
2.6494116180e+01,3.7221364130e-15
2.7098245882e+01,3.7221327658e-15
2.7716151197e+01,3.7221293502e-15
2.8348146242e+01,3.7221261533e-15
2.8994552298e+01,3.7221231589e-15
2.9655697969e+01,3.7221203546e-15
3.0331919355e+01,3.7221177288e-15
3.1023560219e+01,3.7221152689e-15
3.1730972161e+01,3.7221129650e-15
3.2454514800e+01,3.7221108070e-15
3.3194555956e+01,3.7221087847e-15
3.3951471833e+01,3.7221068906e-15
3.4725647216e+01,3.7221051156e-15
3.5517475664e+01,3.7221034519e-15
3.6327359709e+01,3.7221018933e-15
3.7155711063e+01,3.7221004321e-15
3.8002950823e+01,3.7220990623e-15
3.8869509692e+01,3.7220977784e-15
3.9755828191e+01,3.7220965743e-15
4.0662356889e+01,3.7220954453e-15
4.1589556625e+01,3.7220943865e-15
4.2537898750e+01,3.7220933931e-15
4.3507865361e+01,3.7220924615e-15
4.4499949549e+01,3.7220915873e-15
4.5514655647e+01,3.7220907667e-15
4.6552499490e+01,3.7220899968e-15
4.7614008673e+01,3.7220892738e-15
4.8699722824e+01,3.7220885950e-15
4.9810193875e+01,3.7220879577e-15
5.0945986341e+01,3.7220873589e-15
5.2107677614e+01,3.7220867963e-15
5.3295858247e+01,3.7220862677e-15
5.4511132262e+01,3.7220857707e-15
5.5754117454e+01,3.7220853036e-15
5.7025445703e+01,3.7220848642e-15
5.8325763301e+01,3.7220844508e-15
5.9655731274e+01,3.7220840620e-15
6.1016025722e+01,3.7220836959e-15
6.2407338162e+01,3.7220833511e-15
6.3830375878e+01,3.7220830265e-15
6.5285862285e+01,3.7220827206e-15
6.6774537289e+01,3.7220824322e-15
6.8297157671e+01,3.7220821604e-15
6.9854497467e+01,3.7220819039e-15
7.1447348364e+01,3.7220816619e-15
7.3076520100e+01,3.7220814334e-15
7.4742840879e+01,3.7220812175e-15
7.6447157787e+01,3.7220810136e-15
7.8190337228e+01,3.7220808208e-15
7.9973265361e+01,3.7220806383e-15
8.1796848553e+01,3.7220804657e-15
8.3662013837e+01,3.7220803022e-15
8.5569709384e+01,3.7220801473e-15
8.7520904988e+01,3.7220800004e-15
8.9516592554e+01,3.7220798611e-15
9.1557786606e+01,3.7220797288e-15
9.3645524802e+01,3.7220796031e-15
9.5780868460e+01,3.7220794837e-15
9.7964903101e+01,3.7220793700e-15
1.0019873899e+02,3.7220792619e-15
1.0248351173e+02,3.7220791588e-15
1.0482038279e+02,3.7220790605e-15
1.0721054014e+02,3.7220789667e-15
1.0965519884e+02,3.7220788772e-15
1.1215560166e+02,3.7220787916e-15
1.1471301968e+02,3.7220787097e-15
1.1732875299e+02,3.7220786313e-15
1.2000413133e+02,3.7220785562e-15
1.2274051475e+02,3.7220784841e-15
1.2553929430e+02,3.7220784149e-15
1.2840189277e+02,3.7220783484e-15
1.3132976538e+02,3.7220782845e-15
1.3432440054e+02,3.7220782229e-15
1.3738732061e+02,3.7220781635e-15
1.4052008263e+02,3.7220781063e-15
1.4372427918e+02,3.7220780510e-15
1.4700153913e+02,3.7220779976e-15
1.5035352851e+02,3.7220779459e-15
1.5378195132e+02,3.7220778958e-15
1.5728855044e+02,3.7220778473e-15
1.6087510847e+02,3.7220778002e-15
1.6454344866e+02,3.7220777545e-15
1.6829543586e+02,3.7220777100e-15
1.7213297740e+02,3.7220776668e-15
1.7605802414e+02,3.7220776246e-15
1.8007257140e+02,3.7220775835e-15
1.8417866002e+02,3.7220775435e-15
1.8837837735e+02,3.7220775043e-15
1.9267385836e+02,3.7220774660e-15
1.9706728669e+02,3.7220774286e-15
2.0156089577e+02,3.7220773919e-15
2.0615696997e+02,3.7220773560e-15
2.1085784574e+02,3.7220773208e-15
2.1566591281e+02,3.7220772862e-15
2.2058361539e+02,3.7220772522e-15
2.2561345345e+02,3.7220772188e-15
2.3075798393e+02,3.7220771860e-15
2.3601982211e+02,3.7220771537e-15
2.4140164288e+02,3.7220771218e-15
2.4690618214e+02,3.7220770904e-15
2.5253623815e+02,3.7220770595e-15
2.5829467301e+02,3.7220770289e-15
2.6418441407e+02,3.7220769987e-15
2.7020845541e+02,3.7220769689e-15
2.7636985942e+02,3.7220769395e-15
2.8267175829e+02,3.7220769103e-15
2.8911735564e+02,3.7220768815e-15
